Genre,Movie Count,Average Revenue,Average Budget,Average ROI
Drama,2344,13210796.029010238,3356913.563566553,535257.1366884747
Comedy,1830,14115475.554644808,3791271.798907104,5353.429019038497
[],1784,10566721.661995515,154704.25616591927,1536275.3201453884
Action,931,13372788.853920516,3992827.4801288936,560590.5794577245
Horror,776,20398319.54639175,3155394.0038659796,290263.5719434312
Documentary,442,3093789.0022624433,511275.0294117647,25.792036275795667
Thriller,408,9699935.887254901,3117643.5196078434,49511.18010296365
Crime,369,10272574.436314363,4099918.6558265584,727.6961293615321
Adventure,291,24152321.137457043,3985669.64604811,1374590.0666905092
Romance,289,10653329.730103806,3075730.937716263,47815.71922786429
