Year,Movie Count,Average Revenue,Average Budget,Average ROI
2000.0,100,12280494.06,4977491.38,45.43560623283717
2001.0,92,13062089.717391305,5464046.141304348,15.74554921064725
2002.0,119,15316574.99159664,4905085.966386555,3.0873192237072926
2003.0,126,12890996.30952381,4530973.76984127,49.000936005154806
2004.0,148,12774581.371621622,4540699.425675675,20.408898019361413
2005.0,165,11702165.10909091,4245935.072727272,123.07430684961587
2006.0,187,18665027.59893048,4720708.310160427,7231.429737578578
2007.0,215,12892124.139534883,4691509.651162791,9313.552017837508
2008.0,183,14240413.836065574,5020122.109289617,6.128564619687434
2009.0,221,9517378.484162895,5010895.42081448,28.560118153171388
2010.0,246,10413672.162601626,4098904.4552845526,8.696274938974025
2011.0,213,13681799.117370892,4357013.201877934,8.421362865098743
2012.0,238,13616113.483193276,4048918.2983193276,16037.006388346304
2013.0,250,13176674.004,4138790.444,8.47212506275606
2014.0,274,13320609.90510949,3729385.2737226277,10.238166683336532
2015.0,267,11815259.985018726,4073658.052434457,3.976106628618908
2016.0,302,11591208.526490066,3646177.798013245,6.2154268555374275
2017.0,344,10595240.52616279,2722450.351744186,3828.0895115733965
2018.0,343,11446065.01457726,2339348.3527696794,186.93524092632427
2019.0,280,9060076.517857144,2858810.8321428574,8434.598972579886
2020.0,255,4456145.509803922,1467796.8078431373,397377.5428785014
2021.0,313,1915184.1725239616,1200816.3418530351,462.07770115940764
2022.0,347,3630286.530259366,1096495.8818443804,902.4147518364035
2023.0,457,9573843.391684901,547451.1969365426,3371153.977745826
2024.0,387,15071828.956072351,45736.75452196383,197262.74187335177
2025.0,40,137872.25,29038.5,3.2403671794123183
2026.0,4,9.75,500.75,1.62975
2027.0,3,34.333333333333336,76.33333333333333,-0.328125
2028.0,2,13005.0,1850.0,3.3404761904761906
2029.0,1,7.0,10.0,-0.3
